layer_idx,accuracy,f1,precision,recall,acc_diff,f1_diff,precision_diff,recall_diff
0,0.7041284403669725,0.7038651692492379,0.7040975486373122,0.703818304285594,-0.25114678899082565,-0.25139682199206814,-0.2511477327930708,-0.2514629115096405
1,0.948394495412844,0.9483862821155311,0.9483525964426816,0.9484823608655384,-0.006880733944954143,-0.006875709125774954,-0.006892684987701458,-0.006798854929696119
2,0.9552752293577982,0.9552652867938676,0.9552298877787774,0.9553233139681738,0.0,3.2955525615108172e-06,-1.5393651605632996e-05,4.2098172939319944e-05
3,0.948394495412844,0.9483830232236934,0.9483482488122859,0.9484402626925992,-0.006880733944954143,-0.006878968017612674,-0.006897032618097154,-0.006840953102635328
4,0.944954128440367,0.9449399359105906,0.9449121330106283,0.9449776879683423,-0.010321100917431214,-0.010322055330715507,-0.010333148419754745,-0.010303527826892256
5,0.9495412844036697,0.949528274584708,0.9495001578448911,0.9495663888187252,-0.005733944954128489,-0.0057337166565980535,-0.005745123585491951,-0.0057148269765092685
6,0.948394495412844,0.9483748741933573,0.9483961792490068,0.9483560663467205,-0.006880733944954143,-0.006887117047948754,-0.006849102181376243,-0.0069251494485139675
7,0.9220183486238532,0.9218370198518362,0.9238805970149253,0.9214448092952766,-0.03325688073394495,-0.03342497138946987,-0.0313646844154577,-0.033836406499957894
8,0.9541284403669725,0.9541197516573714,0.9540824915824916,0.9541971878420477,-0.0011467889908256534,-0.0011422395839346677,-0.0011627898478914211,-0.0010840279531868502
9,0.9518348623853211,0.9518095117791954,0.9519246967654986,0.9517344447250989,-0.0034403669724770714,-0.0034524794621106913,-0.003320584664884385,-0.003546771070135568
10,0.9564220183486238,0.9564034418335394,0.9564517147729426,0.9563652437484214,0.0011467889908256534,0.0011414505922333618,0.001206433342559543,0.0010840279531868502
11,0.9461009174311926,0.9460236140103648,0.9470446664661083,0.9457249305380147,-0.00917431192660556,-0.00923837723094123,-0.00820061496427471,-0.009556285257219854
